2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἐτελεύτησαν·	τελευτάω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to complete, finish, accomplish; pple. finally, in the end
δῶρον,	δῶρον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a gift, present
ἡσύχως	ἡσύχως	{Degree: [positive]}	
θανεῖν,	θανέω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	
ἔδωκεν	δίδωμι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to give
θεός,	θεός,	{Case: [nominative], Gender: [feminine], Number: [singular]}	
πάντων	πᾶς	{Case: [genitive], Gender: [masculine], Number: [plural]}	all, the whole
ἄριστον.	ἀγαθός	{Case: [accusative], Degree: [superlative], Gender: [neuter], Number: [singular]}	good
ἔλεξεν	λέγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
Σόλων	Σόλων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Solon
Κροίσῳ	Κροῖσος	{Case: [dative], Gender: [masculine], Number: [singular]}	Croesus
ἐρωτῶντι	ἐρωτάω	{Case: [dative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to ask
τίς	τίς	{Case: [nominative], Gender: [masculine], Number: [singular], PrononimalType: [interrogative]}	who? which?
πάντων	πᾶς	{Case: [genitive], Gender: [masculine], Number: [plural]}	all, the whole
ἀνθρώπων	ἄνθρωπος	{Case: [genitive], Gender: [masculine], Number: [plural]}	man, person, human
ὀλβιώτατος	ὄλβιος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	happy, blest
εἶναι	εἰμί	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to be
δοκεῖ.	δοκέω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	seem, impers. it seems best..
Κροῖσος,	Κροῖσος,	{Case: [nominative], Gender: [masculine], Number: [singular]}	
πλουσιώτατος	πλούσιος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	rich, wealthy, opulent
ἤλπιζεν	ἐλπίζω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to hope for, look for, expect
ὀνομασθήσεσθαι.	ὀνομάζω	{Tense: [future], VerbForm: [infinitive], Voice: [passive]}	to name
2.4.0	2.4.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ajax	Ajax	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Defends	Defends	{Case: [genitive], Gender: [masculine], Number: [singular]}	
the	the	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Greek	Greek	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ships	Ships	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.4.1	2.4.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἕκτωρ	Ἕκτωρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	Hector
ἄριστοι	ἀγαθός	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [plural]}	good
Τρώων	τρώς	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ἐβούλοντο	βούλομαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to will, wish, be willing
νικήσαντες	νικάω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to conquer, prevail, vanquish
Δαναοὺς	Δαναοί	{}	the Danaans
καταλύεσθαι	καταλύω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to put down, destroy; settle (disputes); lodge, rest
πόλεμον.	πόλεμον	{Case: [accusative], Gender: [masculine], Number: [singular]}	
Ἐξελθόντες	ἐξέρχομαι	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to go out, come out
πόλεως	πόλις	{Case: [genitive], Gender: [feminine], Number: [singular]}	a city
ἐπορεύοντο	πορεύομαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
θαλάσσης,	θάλασσα	{Case: [genitive], Gender: [feminine], Number: [singular]}	the sea
νῷ	νόος	{Case: [dative], Gender: [feminine], Number: [singular]}	mind, perception
ἔχοντες	ἔχω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
προσβολὴν	προσβολή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a putting to, application
ποιεῖσθαι	ποιέω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to make, to do
Δαναοὺς	Δαναοί	{}	the Danaans
πως	πως	{}	somehow, in some way
καταλάβοιεν	καταλαμβάνω	{Aspect: [perfective], Mood: [optative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to seize upon, lay hold of
ναῦς.	ναῦς	{Case: [accusative], Gender: [feminine], Number: [plural]}	a ship
2.4.2	ὅ.εις	{Case: [genitive], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	
Μάχη	Μάχη	{Case: [nominative], Gender: [feminine], Number: [singular]}	
καρτερὰ	καρτερός	{Case: [accusative], Degree: [positive], Gender: [feminine], Number: [singular]}	strong, staunch, stout, sturdy
ἐγένετο,	γίγνομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
πολλοὶ	πολύς	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	much, many
Τρώων	τρώς	{Case: [genitive], Gender: [masculine], Number: [plural]}	
Δαναῶν	Δαναᾶ	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ἀπέθανον.	ἀποθνῄσκω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to die, be killed
Ἀγαμέμνων	Ἀγαμέμνων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Agamemnon, lit. the very steadfast
ἐβουλεύσατο	βουλεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to take counsel, deliberate, concert measures
καθελκύσας	καθέλκω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to draw
ναῦς	ναῦς	{Case: [accusative], Gender: [feminine], Number: [plural]}	a ship
ἀνάγεσθαι,	ἀνάγω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to lead up; mid. set sail
ἡγεμόνες	ἡγεμών	{Case: [nominative], Gender: [masculine], Number: [plural]}	leader, guide
ἤθελον.	ἐθέλω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to will, wish, purpose
Τότε	τότε	{}	at that time, then
Αἴας	Αἶα	{Case: [nominative], Gender: [masculine], Number: [singular]}	Aea (Colchis)
ξυγκαλέσας	ξυγκαλέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	
ἀρίστους	ἀγαθός	{Case: [accusative], Degree: [superlative], Gender: [masculine], Number: [plural]}	good
Ἑλλήνων	Ἕλλην	{Case: [genitive], Gender: [masculine], Number: [plural]}	Hellen; Greek
ἀντεῖχε	ἀντέχω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to hold out against, withstand
πολεμίοις.	πολέμιος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
2.4.3	2.4.3	{Case: [dative], Gender: [masculine], Number: [singular]}	
Βαλὼν	λαλέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to talk, chat, prattle, babble
Αἴαντα	Αἴαντα	{Case: [accusative], Gender: [masculine], Number: [singular]}	
δόρατι	δόρυ	{Case: [dative], Gender: [neuter], Number: [singular]}	tree, plank, spear
Ἕκτωρ	Ἕκτωρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	Hector
ἔπληξε	πλήσσω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to strike, smite
αὐτόν,	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἐτραυμάτισε	τραυματίζω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to wound
οὔκ·	οὔκ	{}	
ζωστὴρ	ζωστός	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	girded
ἤμυνε	ὄμνυμι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to swear
βέλος.	βέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	projectile; arrow, weapon
Λαβὼν	λαμβάνω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to take, seize, receive
μέγαν	μέγας	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	big, great
λίθον	λίθος	{Case: [accusative], Gender: [masculine], Number: [singular]}	a stone
Αἴας	Αἶα	{Case: [nominative], Gender: [masculine], Number: [singular]}	Aea (Colchis)
ἔβαλε	βάλλω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to throw
Ἕκτορα,	Ἕκτορα	{Case: [accusative], Gender: [masculine], Number: [singular]}	
ἑταίρους	ἑταῖρος	{Case: [accusative], Gender: [masculine], Number: [plural]}	a comrade, companion, mate
κατιόντα,	κάτειμι	{Case: [accusative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	go down
αὐχένος,	αὐχήν	{Case: [genitive], Gender: [masculine], Number: [singular]}	the neck, throat
πεπληγμένος	πλήσσω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to strike, smite
κατέπεσεν,	καταπίπτω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to fall
Δαναοὶ	Δαναοί	{}	the Danaans
σπεύδοντες	σπεύδω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to set a-going, to urge on, hasten, quicken
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
καταλαβεῖν	καταλαμβάνω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to seize upon, lay hold of
ἐδυνήθησαν·	δύναμαι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to be able, capable, strong enough
συμμαχοι	συμμαχός	{Case: [nominative], Gender: [masculine], Number: [plural]}	
προίσταντο	προίστημι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
φυλάσσοντες	φυλάσσω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to keep watch and ward, keep guard
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἀσπίσιν,	ἀσπίσις	{Case: [dative], Gender: [feminine], Number: [plural]}	
ἔπειτα	ἔπειτα	{}	then, next
ἐξήνεγκαν	ἐκφέρω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to carry out of
μάχης.	μάχη	{Case: [genitive], Gender: [feminine], Number: [singular]}	battle, fight, combat
2.4.4	2.4.4	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἀπόλλων	Ἀπόλλων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Apollo
θεὸς	θεός	{Case: [nominative], Gender: [masculine], Number: [singular]}	god
μαθὼν	μανθάνω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to learn
γενόμενα	γίγνομαι	{Aspect: [perfective], Case: [accusative], Gender: [neuter], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [middle]}	become, be born
ἰάσατο	ἰάομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to heal, cure
τραῦμα,	τραῦμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	a wound, hurt
μακροῦ	μακρός	{Case: [genitive], Degree: [positive], Gender: [neuter], Number: [singular]}	long
Ἕκτωρ	Ἕκτωρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	Hector
αὖθις	αὖθις	{}	back, back again
κατῆλθεν	κατέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to go down from; return from exile
μάχην.	μάχην	{Case: [accusative], Gender: [feminine], Number: [singular]}	
πολέμιοι	πολέμιος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
ἰδόντες	ὁράω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to see
ἐθαύμαζον·	θαυμάζω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to wonder, marvel, be astonished
